product_id,name,category,brand,color,description,price,stock_quantity,rating,review_count,tags
1001,UrbanEdge Black Running Shoes,Footwear,UrbanEdge,Black,"UrbanEdge Black Running Shoes designed for walking comfort, lightweight, and cushioned sole. Ideal for customers looking for reliable quality, comfort, and everyday performance.",121.75,67,3.8,429,"walking comfort, lightweight, cushioned sole"
1002,DailyGo Black Running Shoes,Footwear,DailyGo,Black,"DailyGo Black Running Shoes designed for lightweight, breathable, and cushioned sole. Ideal for customers looking for reliable quality, comfort, and everyday performance.",16.41,60,3.8,2475,"lightweight, breathable, cushioned sole"
1003,EcoWear Brown Running Shoes,Footwear,EcoWear,Brown,"EcoWear Brown Running Shoes designed for breathable, daily jogging, and walking comfort. Ideal for customers looking for reliable quality, comfort, and everyday performance.",44.63,155,3.9,36,"breathable, daily jogging, walking comfort"
1004,StyleNest Blue Formal Leather Shoes,Footwear,StyleNest,Blue,"StyleNest Blue Formal Leather Shoes designed for polished finish, black leather, and office wear. Ideal for customers looking for reliable quality, comfort, and everyday performance.",43.87,200,4.0,389,"polished finish, black leather, office wear"
1005,HomeEase Beige Formal Leather Shoes,Footwear,HomeEase,Beige,"HomeEase Beige Formal Leather Shoes designed for black leather, polished finish, and comfortable fit. Ideal for customers looking for reliable quality, comfort, and everyday performance.",51.15,16,4.6,2206,"black leather, polished finish, comfortable fit"
1006,EcoWear Red Formal Leather Shoes,Footwear,EcoWear,Red,"EcoWear Red Formal Leather Shoes designed for comfortable fit, office wear, and business meetings. Ideal for customers looking for reliable quality, comfort, and everyday performance.",134.75,163,4.8,1491,"comfortable fit, office wear, business meetings"
1007,UrbanEdge Black Hiking Boots,Footwear,UrbanEdge,Black,"UrbanEdge Black Hiking Boots designed for ankle support, water resistant, and mountain travel. Ideal for customers looking for reliable quality, comfort, and everyday performance.",109.87,202,3.9,336,"ankle support, water resistant, mountain travel"
1008,StyleNest Navy Hiking Boots,Footwear,StyleNest,Navy,"StyleNest Navy Hiking Boots designed for ankle support, outdoor trails, and rugged sole. Ideal for customers looking for reliable quality, comfort, and everyday performance.",106.08,98,3.7,1465,"ankle support, outdoor trails, rugged sole"
1009,UrbanEdge Beige Hiking Boots,Footwear,UrbanEdge,Beige,"UrbanEdge Beige Hiking Boots designed for rugged sole, mountain travel, and ankle support. Ideal for customers looking for reliable quality, comfort, and everyday performance.",105.98,141,4.6,679,"rugged sole, mountain travel, ankle support"
1010,EcoWear Grey Casual Sneakers,Footwear,EcoWear,Grey,"EcoWear Grey Casual Sneakers designed for soft sole, everyday use, and canvas upper. Ideal for customers looking for reliable quality, comfort, and everyday performance.",113.32,220,4.7,239,"soft sole, everyday use, canvas upper"
1011,DailyGo Red Casual Sneakers,Footwear,DailyGo,Red,"DailyGo Red Casual Sneakers designed for soft sole, comfortable walking, and canvas upper. Ideal for customers looking for reliable quality, comfort, and everyday performance.",21.8,238,4.9,1298,"soft sole, comfortable walking, canvas upper"
1012,PrimeCart Blue Casual Sneakers,Footwear,PrimeCart,Blue,"PrimeCart Blue Casual Sneakers designed for street style, comfortable walking, and canvas upper. Ideal for customers looking for reliable quality, comfort, and everyday performance.",51.2,68,4.6,2217,"street style, comfortable walking, canvas upper"
1013,DailyGo Green Sports Sandals,Footwear,DailyGo,Green,"DailyGo Green Sports Sandals designed for quick dry, lightweight, and beach wear. Ideal for customers looking for reliable quality, comfort, and everyday performance.",44.46,40,4.3,382,"quick dry, lightweight, beach wear"
1014,TechHive Brown Sports Sandals,Footwear,TechHive,Brown,"TechHive Brown Sports Sandals designed for lightweight, adjustable straps, and beach wear. Ideal for customers looking for reliable quality, comfort, and everyday performance.",100.27,103,4.1,1927,"lightweight, adjustable straps, beach wear"
1015,NovaMart White Sports Sandals,Footwear,NovaMart,White,"NovaMart White Sports Sandals designed for quick dry, adjustable straps, and summer travel. Ideal for customers looking for reliable quality, comfort, and everyday performance.",112.89,142,4.6,1403,"quick dry, adjustable straps, summer travel"
1016,TechHive Navy Wireless Headphones,Electronics,TechHive,Navy,"TechHive Navy Wireless Headphones designed for noise cancellation, bluetooth, and long battery life. Ideal for customers looking for reliable quality, comfort, and everyday performance.",1096.03,189,3.9,2060,"noise cancellation, bluetooth, long battery life"
1017,StyleNest Silver Wireless Headphones,Electronics,StyleNest,Silver,"StyleNest Silver Wireless Headphones designed for bluetooth, long battery life, and noise cancellation. Ideal for customers looking for reliable quality, comfort, and everyday performance.",270.62,200,3.7,2182,"bluetooth, long battery life, noise cancellation"
1018,NovaMart White Wireless Headphones,Electronics,NovaMart,White,"NovaMart White Wireless Headphones designed for bluetooth, noise cancellation, and long battery life. Ideal for customers looking for reliable quality, comfort, and everyday performance.",1323.15,217,4.7,990,"bluetooth, noise cancellation, long battery life"
1019,UrbanEdge White Gaming Laptop,Electronics,UrbanEdge,White,"UrbanEdge White Gaming Laptop designed for high refresh display, gaming performance, and video editing. Ideal for customers looking for reliable quality, comfort, and everyday performance.",1232.23,199,4.3,525,"high refresh display, gaming performance, video editing"
1020,TechHive Red Gaming Laptop,Electronics,TechHive,Red,"TechHive Red Gaming Laptop designed for video editing, gaming performance, and RGB keyboard. Ideal for customers looking for reliable quality, comfort, and everyday performance.",928.56,59,4.9,833,"video editing, gaming performance, RGB keyboard"
1021,HomeEase Navy Gaming Laptop,Electronics,HomeEase,Navy,"HomeEase Navy Gaming Laptop designed for powerful GPU, high refresh display, and video editing. Ideal for customers looking for reliable quality, comfort, and everyday performance.",703.65,68,3.8,1394,"powerful GPU, high refresh display, video editing"
1022,FitPro Black Office Laptop,Electronics,FitPro,Black,"FitPro Black Office Laptop designed for office work, lightweight, and long battery backup. Ideal for customers looking for reliable quality, comfort, and everyday performance.",964.1,63,3.6,138,"office work, lightweight, long battery backup"
1023,FitPro Red Office Laptop,Electronics,FitPro,Red,"FitPro Red Office Laptop designed for long battery backup, presentations, and lightweight. Ideal for customers looking for reliable quality, comfort, and everyday performance.",359.64,38,4.6,2348,"long battery backup, presentations, lightweight"
1024,PrimeCart Brown Office Laptop,Electronics,PrimeCart,Brown,"PrimeCart Brown Office Laptop designed for presentations, lightweight, and office work. Ideal for customers looking for reliable quality, comfort, and everyday performance.",189.55,115,4.0,1693,"presentations, lightweight, office work"
1025,UrbanEdge Black Smart Watch,Electronics,UrbanEdge,Black,"UrbanEdge Black Smart Watch designed for heart rate monitor, water resistant, and fitness tracking. Ideal for customers looking for reliable quality, comfort, and everyday performance.",540.99,225,3.7,794,"heart rate monitor, water resistant, fitness tracking"
1026,DailyGo Blue Smart Watch,Electronics,DailyGo,Blue,"DailyGo Blue Smart Watch designed for fitness tracking, phone notifications, and sleep tracking. Ideal for customers looking for reliable quality, comfort, and everyday performance.",411.22,241,3.6,2264,"fitness tracking, phone notifications, sleep tracking"
1027,EcoWear Black Smart Watch,Electronics,EcoWear,Black,"EcoWear Black Smart Watch designed for water resistant, phone notifications, and fitness tracking. Ideal for customers looking for reliable quality, comfort, and everyday performance.",1392.23,222,3.9,1674,"water resistant, phone notifications, fitness tracking"
1028,DailyGo Black Bluetooth Speaker,Electronics,DailyGo,Black,"DailyGo Black Bluetooth Speaker designed for outdoor parties, wireless audio, and rechargeable battery. Ideal for customers looking for reliable quality, comfort, and everyday performance.",52.13,104,3.9,1873,"outdoor parties, wireless audio, rechargeable battery"
1029,EcoWear Navy Bluetooth Speaker,Electronics,EcoWear,Navy,"EcoWear Navy Bluetooth Speaker designed for portable speaker, outdoor parties, and rechargeable battery. Ideal for customers looking for reliable quality, comfort, and everyday performance.",479.23,19,4.4,2230,"portable speaker, outdoor parties, rechargeable battery"
1030,NovaMart Beige Bluetooth Speaker,Electronics,NovaMart,Beige,"NovaMart Beige Bluetooth Speaker designed for portable speaker, deep bass, and rechargeable battery. Ideal for customers looking for reliable quality, comfort, and everyday performance.",1382.11,140,3.7,2090,"portable speaker, deep bass, rechargeable battery"
1031,MaxCore White Cotton T Shirt,Clothing,MaxCore,White,"MaxCore White Cotton T Shirt designed for casual wear, soft cotton, and daily comfort. Ideal for customers looking for reliable quality, comfort, and everyday performance.",111.93,65,4.1,2343,"casual wear, soft cotton, daily comfort"
1032,UrbanEdge Brown Cotton T Shirt,Clothing,UrbanEdge,Brown,"UrbanEdge Brown Cotton T Shirt designed for casual wear, daily comfort, and soft cotton. Ideal for customers looking for reliable quality, comfort, and everyday performance.",109.29,149,4.3,1078,"casual wear, daily comfort, soft cotton"
1033,StyleNest Brown Cotton T Shirt,Clothing,StyleNest,Brown,"StyleNest Brown Cotton T Shirt designed for soft cotton, breathable fabric, and casual wear. Ideal for customers looking for reliable quality, comfort, and everyday performance.",31.37,170,3.9,1305,"soft cotton, breathable fabric, casual wear"
1034,MaxCore Beige Winter Jacket,Clothing,MaxCore,Beige,"MaxCore Beige Winter Jacket designed for water resistant, cold weather, and outdoor travel. Ideal for customers looking for reliable quality, comfort, and everyday performance.",159.42,23,4.3,2082,"water resistant, cold weather, outdoor travel"
1035,UrbanEdge Grey Winter Jacket,Clothing,UrbanEdge,Grey,"UrbanEdge Grey Winter Jacket designed for water resistant, warm insulation, and hooded design. Ideal for customers looking for reliable quality, comfort, and everyday performance.",66.69,45,4.2,2235,"water resistant, warm insulation, hooded design"
1036,EcoWear Red Winter Jacket,Clothing,EcoWear,Red,"EcoWear Red Winter Jacket designed for water resistant, warm insulation, and outdoor travel. Ideal for customers looking for reliable quality, comfort, and everyday performance.",149.9,31,4.9,560,"water resistant, warm insulation, outdoor travel"
1037,EcoWear Blue Formal Shirt,Clothing,EcoWear,Blue,"EcoWear Blue Formal Shirt designed for slim fit, button down, and business casual. Ideal for customers looking for reliable quality, comfort, and everyday performance.",52.31,159,3.8,1414,"slim fit, button down, business casual"
